2026-04-16 18:31:52.656 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised
2026-04-16 19:08:57.009 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised
2026-04-16 19:09:48.940 | INFO     | freqtrade_gui.ui.ai_chat_dock  | AI settings changed — recreating runtime
2026-04-16 19:09:53.013 | WARNING  | freqtrade_gui.ui.ai_chat_dock  | Failed to list models: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/tags (Caused by NewConnectionError("HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-16 19:09:53.014 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Health check: ok=False message=HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/tags (Caused by NewConnectionError("HTTPConnection(host='localhost', port=11434): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-04-16 19:09:53.015 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Model list populated: 0 models
2026-04-16 19:13:09.458 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised
2026-04-16 19:13:11.615 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Model list populated: 11 models
2026-04-16 19:13:11.616 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Health check: ok=True message=Connected
2026-04-16 19:13:19.014 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Tools toggle: False
2026-04-16 19:13:19.535 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Tools toggle: True
2026-04-16 19:13:20.179 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | Tools toggle: False
2026-04-16 19:17:38.750 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised
2026-04-16 21:00:43.597 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 01:03:02.860 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 08:35:05.867 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 08:42:51.831 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 08:42:51.833 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 08:43:12.205 | DEBUG    | freqtrade_gui.ui.settings_dialog | SettingsDialog created
2026-04-17 08:46:08.457 | INFO     | freqtrade_gui.ui.ai_chat_dock  | AI settings changed — recreating runtime
2026-04-17 09:00:08.513 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 09:00:08.516 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 11:18:20.243 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 11:18:20.244 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 15:02:38.117 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 15:02:38.120 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 15:04:43.650 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 15:04:43.653 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 15:04:48.008 | DEBUG    | freqtrade_gui.ui.settings_dialog | SettingsDialog created
2026-04-17 15:04:56.571 | INFO     | freqtrade_gui.ui.ai_chat_dock  | AI settings changed — recreating runtime
2026-04-17 15:09:23.443 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 15:09:23.445 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 15:11:48.381 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 15:11:48.383 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 15:14:04.043 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 15:14:04.046 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 15:19:27.394 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 15:19:27.396 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 19:53:45.333 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 19:53:45.335 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 20:54:01.034 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 20:54:01.036 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 21:38:31.848 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 21:38:31.850 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 21:38:43.848 | DEBUG    | freqtrade_gui.ui.settings_dialog | SettingsDialog created
2026-04-17 21:43:48.445 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 21:43:48.448 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 21:46:05.701 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: minimal_roi = {'0': 0.104, '13': 0.034, '38': 0.024, '146': 0}
2026-04-17 21:46:32.811 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 21:51:36.716 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 21:51:36.719 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 21:58:40.755 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 21:58:40.757 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 22:09:36.606 | DEBUG    | freqtrade_gui.ui.ai_chat_dock  | AIChatDock initialised (ai_service=True)
2026-04-17 22:09:36.608 | INFO     | freqtrade_gui.ui.main_window   | MainWindow initialised
2026-04-17 22:10:25.852 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: minimal_roi = {'0': 0.104, '13': 0.034, '38': 0.024, '146': 0}
2026-04-17 22:12:43.881 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 22:15:04.617 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: minimal_roi = {'0': 0.104, '13': 0.034, '38': 0.024, '146': 0}
2026-04-17 22:15:06.209 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 22:15:06.423 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 22:15:06.758 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 22:15:06.918 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 22:15:46.189 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: minimal_roi = {'0': 0.104, '13': 0.034, '38': 0.024, '146': 0}
2026-04-17 22:15:47.133 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: stoploss = -0.215
2026-04-17 22:17:27.259 | DEBUG    | freqtrade_gui.ui.improve_page  | Applied suggestion: minimal_roi = {'0': 0.104, '13': 0.034, '38': 0.024, '146': 0}
